title,company,url
[플랫폼본부] 프랜차이즈시너지그룹 AI 리서치 엔지니어 (AI 어시스턴트),㈜넥슨,https://www.jobkorea.co.kr/Recruit/GI_Read/48424636?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=24&sc=630
AI 풀스택 개발자 (경력),㈜카카오,https://www.jobkorea.co.kr/Recruit/GI_Read/48301938?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=25&sc=630
[라이브본부] AI 엔지니어,㈜넥슨,https://www.jobkorea.co.kr/Recruit/GI_Read/48455722?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=26&sc=630
[플랫폼본부] AI Hub실 AI 엔지니어,㈜넥슨,https://www.jobkorea.co.kr/Recruit/GI_Read/48469775?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=27&sc=630
해커스교육그룹 [경력] AI풀스택 개발자 채용,㈜해커스어학원,https://www.jobkorea.co.kr/Recruit/GI_Read/48405321?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=28&sc=630
GA 본사 AI전략팀 경력직 채용,인카금융서비스㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48422437?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=29&sc=630
세일즈 매니저(B2B 영업),㈜휴머스온,https://www.jobkorea.co.kr/Recruit/GI_Read/48178333?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=30&sc=630
AI 머신 러닝 엔지니어 (대리급 이상),메타넷디지털㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48379333?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=31&sc=630
Agentic AI Platform 개발자 (경력),㈜카카오,https://www.jobkorea.co.kr/Recruit/GI_Read/48300757?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=32&sc=630
"경력사원 채용(연구개발, 전략기획, IFM, SI영업)",에스원,https://www.jobkorea.co.kr/Recruit/GI_Read/48428391?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=33&sc=630
"[서비스개발센터] 경력 개발자, 웹디자이너 채용",㈜동아사이언스,https://www.jobkorea.co.kr/Recruit/GI_Read/48493295?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=34&sc=630
인공지능(AI) 솔트룩스 - 백엔드 개발자 채용,주식회사 솔트룩스,https://www.jobkorea.co.kr/Recruit/GI_Read/48455112?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=35&sc=630
AI 개발자,㈜다날,https://www.jobkorea.co.kr/Recruit/GI_Read/48469835?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=36&sc=630
인공지능(AI) 솔트룩스 - PM,주식회사 솔트룩스,https://www.jobkorea.co.kr/Recruit/GI_Read/48374492?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=37&sc=630
[도시락eSIM] 업무자동화 개발·운영 담당자,와이드모바일,https://www.jobkorea.co.kr/Recruit/GI_Read/48489961?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=38&sc=630
2026년 미국 Battery Tech Conference 채용전형 모집 - AI/빅데이터(비전AI),LG에너지솔루션,https://www.jobkorea.co.kr/Recruit/GI_Read/48467513?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=39&sc=630
장애인 채용 [도매꾹/도매매 AMD 모집],㈜지앤지커머스,https://www.jobkorea.co.kr/Recruit/GI_Read/48492756?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=40&sc=630
[CDO] AI/빅데이터 연구개발 경력 상시 모집 - 비전AI기술개발,LG에너지솔루션,https://www.jobkorea.co.kr/Recruit/GI_Read/48359125?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=41&sc=630
[플랫폼본부] AI 리서치 사이언티스트 (Image / Video Generation),㈜넥슨,https://www.jobkorea.co.kr/Recruit/GI_Read/48196529?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=42&sc=630
[기술본부] AI 데이터 엔지니어,㈜넥슨,https://www.jobkorea.co.kr/Recruit/GI_Read/48293274?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=43&sc=630
[그루비] ML Backend Engineer,㈜플래티어,https://www.jobkorea.co.kr/Recruit/GI_Read/48333794?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=44&sc=630
[메이플스토리] AI 엔지니어,㈜넥슨,https://www.jobkorea.co.kr/Recruit/GI_Read/48366731?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=45&sc=630
[CDO] AI/빅데이터 연구개발 경력 상시 모집,LG에너지솔루션,https://www.jobkorea.co.kr/Recruit/GI_Read/48354939?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=46&sc=630
"AIR Platform(Backend Developer, 플랫폼 기획) 채용",메가존클라우드㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48472014?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=47&sc=630
"[AI·빅데이터] AI 엔지니어, R&D, 데이터 사이언티스트, 인프라",㈜엑셈,https://www.jobkorea.co.kr/Recruit/GI_Read/48489693?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=48&sc=630
