,채용제목,회사,근무지,경력,학력,고용형태,상세url,상세게시글id,주요업무,자격요건,우대사항,채용절차,복지 및 혜택,급여,스킬,업종
76,[스타트업] AI 상담플랫폼 AI Intergration Engineer채용,㈜링키스,,1년,대학원(석사)이상,,https://www.jobkorea.co.kr/Recruit/GI_Read/48437968?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=80&sc=630,48437968,- LLM을 활용한 연구 개발 - 예측 모델 및 AI 서비스 개발 - 연구 과제 관리 담당,AI 엔지니어 석/박사 전문연구요원 ( 0명 ) 담당업무 - LLM을 활용한 연구 개발 - 예측 모델 및 AI 서비스 개발 - 연구 과제 관리 담당 자격요건 - 경력 1년 이상 - 석사 졸업 이상 - 전문연구요원,"- 대규모 연구과제 책임자 역할 경험자 - 데이터처리 및 전처리 경험자 (대규모 텍스트데이터, 영상데이터, 음성데이터 등) - 모델 개발 경험자 - 특정 문제 해결을 위한 Language Model Fine Tuning 경험자 - 자연어 처리 경험자 - Pretrained Language Model 기반의 자연어 처리 경험자 - 머신러닝 관련 논문 작성 경험자 - AI서비스 개발 참여 경험자 - MLOps 및 모델 배포 경험자 (API 개발, 모델 모니터링) ■",,- 유연근무제로 워라밸을 중시해요 - 직원 건강 검진 지원해요 - 사내 교육 및 세미나 제공해요 - 임직원과 임직원의 가족의 의료비를 제공해요 - 연간 평균 100만 원 이상의 복지포인트를 지급해요 - 명절 상여금 지급해요 - 연차 및 휴가 제도 운영해요 전형절차 -,회사 내규에 따름 (면접 후 결정),"C, C++, Python, Pytorch, R, Tensorflow, HuggingFace, LLM",솔루션·SI·CRM·ERP
77,AI 엔지니어 7년 이상,한국딥러닝㈜,서울 강서구 마곡중앙8로5길 40  엑셈,:,대졸이상,정규직(수습 1개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48489693?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=66&sc=630,48489693,"관련 유사 전공 이수자 또는 교육과정(양성과정 등) 이수자 · 데이터 분석 관련 자격증 (정보처리기사, 정보처리산업기사, 빅데이터분석기사, ADsP, ADP 등) · Pytorch / TensorFlow 등 딥러닝 프레임워크 활용 능력 · LLM 프로젝트 참여 경험 (파인튜닝, RAG 구축, 에이전트 개발 등) · 공공기관 및 민간",을 반영한 프로젝트 기획 및 실행 능력 · 대내외 이해관계자와의 원활한 커뮤니케이션 및 협업을 위한 조율 능력 ※ 근무지는 상황에 따라 변동될 수 있습니다. ※ 수습기간 1개월 (최대 3개월까지 수습기간 연장 가능),"AI Engineer · 엑셈 AI 제품군에 AI 모델 적용 및 운영 · 이상탐지/예측 모델의 서비스 연동, 실시간 서빙 및 MLOps/LLMOps 파이프라인 구축 · LLM 기반 RAG/Agent 시스템 개발 (검색, 임베딩, 평가 모듈 구현) · 데이터 파이프라인, 전처리, API 백엔드 개발 및 운영 자동화 · GPU 리소스 및 AI 워크로드 모니터링 시스템 개발 · 실시간 이상 탐지 이벤트의 시각화 및 대시보드화 자격요건 · 경력 : 2년 이상 · 컴퓨터공학, AI, 소프트웨어공학 관련 전공 학사 이상 · Python 기반 AI/ML/DL 개발 경험 (PyTorch, TensorFlow, Scikit-learn 등) · REST API, FastAPI, Flask, Django 등 백엔드 개발 경험 · Docker, Kubernetes, CI/CD 등 DevOps 환경 이해 및 적용 경험 · 데이터베이스 (PostgreSQL, ClickHouse, ElasticSearch, Redis 등) 이해 ※ 수습기간 1개월 (최대 3개월까지 수습기간 연장 가능) 우대사항 · LLM 서비스 및 RAG/Agent Builder 구현 경험 · MLOps/LLMOps 환경 구축 경험 (MLflow, Kubeflow, AutoRAG 등) · GPU 리소스 모니터링 및 AI 이상탐지 시스템 경험 · 클라우드 (AWS, GCP, Naver Cloud 등) 또는 온프레미스 인프라 구축 경험 AI R&D Researcher · 엑셈 AI 그룹의 핵심 제품군의 인공지능 모델 연구 및 개발 · 시계열 이상탐지, 대규모 LLM 연구 및 파인튜닝 · 비정상 패턴 탐지용 알고리즘 설계 및 모델 성능 고도화 · 대규모 데이터넷(로그, 메트릭, 텍스트, 이미지 등) 기반 모델 학습 및 분석 · Document Parsing, OCR 등 전처리 아키텍쳐 연구 · 연구 결과를 제품화 가능한 프로토타입으로 구현 및 사내 적용 자격요건 · 경력 : 4년 이상 · 컴퓨터공학, 통계, 수학, 전기 전자 등 관련 전공 학사 이상 · 딥러닝, 시계열 분석, 이상탐지, LLM 등 중 하나 이상 연구 경험 · PyTorch 또는 TensorFlow 기반 모델 구현 능력 · 논문을 코드로 구현 및 성능 재현/개선 가능한 역량 · 수학적 사고력(확률, 선형대수, 최적화 등) 및 데이터 해석 능력 ※ 수습기간 1개월 (최대 3개월까지 수습기간 연장 가능) 우대사항 · 컴퓨터 공학, 통계, 수학, 전기 전자 등 관련 전공 석사/박사 · 시계열 이상탐지 모델 연구 경험 · LLM, RAG, RLHF, LLM-as-a-Judge 등 최신 AI 연구 경험 · GPU 클러스터 환경, 멀티 GPU 학습 경험 · 논문 리서치 및 사내 기술 문서 작성 능력 Data Scientist · 프로젝트 관리 또는 프로젝트 구축 개발 리더 · 분석 프로젝트 PM 업무 수행 제안 및 PT · 구축 사업 내 분석 PL 업무 수행 (PT 및 고객 커뮤니케이션) 자격요건 · 경력 : 10년 이상 · 소프트웨어 기술자 경",,"연금·보험 국민연금 , 고용보험, 산재보험, 건강보험, 퇴직연금 휴무·휴가·행사 주5일제, 연차제도, 경조휴가, 반차제도, 출산휴가, 육아휴직, 노동절 휴무, 워크샵/MT 편의·여가·건강 사내 동호회, 저녁 식사 지원, 아침 식사 지원 복리후생 더보기 관련 태그 IT 개발자 전문 채용관 데이터엔지니어 빅데이터 데이터사이언티스트 AI/ML연구원 솔루션·SI·CRM·ERP 소프트웨어개발 솔루션 본 채용정보는 잡코리아의 동의없이 무단전재,재배포,재가공할수 없으며,구직활동 이외의 용도로 사용할 수 없습니다. 불법/허위/과장/오류 신고 로그인하고 비슷한 조건의 AI추천공고를 확인해 보세요! ㈜천재교육 [천재교육] AI센터 AI데이터플랫폼팀 AI, 데이터, MLOps 엔지니어 모집 학력무관 경력5년↑ 서울 > 금천구 데이터엔지니어,AI/ML엔지니어,MLOps엔지니어 ~02.28 (토) 즉시 지원 주식회사 루모스 AI / ML 엔지니어 합격축하금 50만원 대졸↑ 경력2년↑ 서울전지역, 마포구 AI/ML엔지니어 ~02.12 (목) 즉시 지원 벳칭㈜ 개발팀 컨버전 팀원 (주니어/신입) 합격축하금 100만원 학력무관 경력무관 서울 > 서초구 백엔드개발자 ~02.18 (수) 즉시 지원 ㈜커머스톤컨설팅 각 부문별 개발자 채용 초대졸↑ 신입·경력 서울 > 금천구, 마포구 웹개발자,소프트웨어개발자,AI서비스개발자 외 3건 ~01.31 (토) 즉시 지원 ㈜미디어로그 LG그룹 계열사 미디어로그(LG그룹) 정보보안 및 시스템/SW 개발자 채용 대졸↑ 신입·경력 서울 > 마포구 보안엔지니어,소프트웨어개발자,시스템엔지니어 외 4건 ~02.04",회사 내규에 따름,,시스템 소프트웨어 개발 및 공급업
78,AI/HPC 인프라 엔지니어,엠키스코어,서울시 강남구 테헤란로38길 8 오피스B 역삼2호점 8층 ~ 11층,경력,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48193187?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=77&sc=630,48193187,"텍스트-음성(TTS), 음성-텍스트(STT) 모델의 개발·최적화 및 경량화 모델 최적화 및 성능 개선: 추론 속도, 비용 효율성, 정확도 등을 고려한 시스템 최적화 자체 텍스트-음성(TTS), 음성-텍스트(STT) AI 기술 개발","3년 이상의 AI 실무 경험: Python 기반 머신러닝/딥러닝 프로젝트 경험 음성 AI 모델 구현 및 연구 경험 : TTS, STT 모델 개발 경험 Python AI 프레임워크 숙련도: PyTorch, LangChain, Transformers 등 주요 라이브러리 사용 경험 Git을 포함한 협업 개발 능력: 버전 관리, 코드 리뷰, 팀 프로젝트 경험 논문 이해 및 구현 능력: 학술 논문 해석, 최신 기술 논문을 코드로 구현할 수 있는 능력",음성 AI (TTS)구현 경험 학술 발표 또는 AI 관련 기술 기고 경험 음성 관련 심화 프로젝트 경험,,") 석사↑ 경력2년↑ 경기 > 화성시 시스템엔지니어,소프트웨어개발자,AI/ML엔지니어 ~02.17 (화) 즉시 지원 ㈜젠티 [젠티] 인공지능(AI) 엔지니어 모집 (병역특례 전문연구요원 - 보충역) 대졸↑ 신입·경력2년↑ 서울 > 구로구 데이터사이언티스트,AI/ML엔지니어 ~02.15 (일) 즉시 지원 ㈜엔텔스 (주)엔텔스 Vision AI 기반 ML/DL 모델 개발자 채용 (경력) 학력무관 경력10년↑ 서울 > 강남구 AI/ML엔지니어 상시채용 즉시 지원 ㈜아이케이랩 (IKLAB Inc.) 딥러닝·컴퓨터 비전 연구원 (Deep Learning and Computer Vision) 대졸↑ 경력무관 서울 > 금천구 AI/ML엔지니어 ~02.01 (일) 즉시 지원 에너자이 에너자이 ML Engineer/Researcher 채용 공고 (전문연구요원 가능) 대졸↑ 경력무관 서울 > 강남구 AI/ML엔지니어 ~02.15 (일) 즉시 지원 직무 데이터엔지니어, 데이터사이언티스트, AI/ML엔지니어 고용형태 정규직 경력 경력 (3년이상) 급여 회사 내규에 따름 근무지역 서울 전지역 마감일 ~2/6(금) 홈페이지 지원 대한민국 ICT를 움직이는",회사 내규에 따름,,기타 정보기술 및 컴퓨터운영 관련 서비스업
79,"AI 개발 역량 보유한 AI 엔지니어, ML엔지니어, AI 개발자 모집",㈜퍼니웍,,:,:,,https://www.jobkorea.co.kr/Recruit/GI_Read/48274853?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=78&sc=630,48274853,"ㆍH사, K사 관련 조선, 자동차 업종 AI팩토리 자율제조시스템 개발 ㆍ 제조 데이터 분석/가공/관리 및 AI 연계 Edge/App개발 ㆍ AI, 로봇, 센서, 생산자동화, 머신비전 연계 SI 개발 ㆍ AI 플랫폼과 연계된 Dashboard 기능 구현 ㆍ 산업별 적용 AI 모델개발 및 데이터 엔지니어링 ㆍ AI 플랫폼 설계/개발 (DataOps, MLOps, Service Ops) ㆍ 머신비전, 품질예측, 설비보전 등 제조AI 솔루션 개발 ㆍ AI 팩토리 솔루션 기획, 설계 및 개발 * 현재 AI 개발경력이 없지만, AI 전문가로 전환하고자 하는 분도 지원 가능 [기술스택] ㆍ 대규모 트래픽 웹 서비스의 아키텍처 설계 및 개발 ㆍ Spring Boot, Node.js(Express) 기반 서버 로직 및 API 개발 ㆍ React.js + Vite를 활용한 웹 프론트엔드 UI/UX 구현 및 최적화 ㆍ 프론트-백 간의 통신을 위한 REST API 및 WebSocket 연동 ㆍ 파이선, 데이터분석 등 AI모델 개발 및 적용경험자 ㆍ 고객요구분석, 설계, 개발 등 개발프로젝트 전반 담당","제조 AI 개발 엔지니어 ( 0명 ) 담당업무 ㆍH사, K사 관련 조선, 자동차 업종 AI팩토리 자율제조시스템 개발 ㆍ 제조 데이터 분석/가공/관리 및 AI 연계 Edge/App개발 ㆍ AI, 로봇, 센서, 생산자동화, 머신비전 연계 SI 개발 ㆍ AI 플랫폼과 연계된 Dashboard 기능 구현 ㆍ 산업별 적용 AI 모델개발 및 데이터 엔지니어링 ㆍ AI 플랫폼 설계/개발 (DataOps, MLOps, Service Ops) ㆍ 머신비전, 품질예측, 설비보전 등 제조AI 솔루션 개발 ㆍ AI 팩토리 솔루션 기획, 설계 및 개발 * 현재 AI 개발경력이 없지만, AI 전문가로 전환하고자 하는 분도 지원 가능 [기술스택] ㆍ 대규모 트래픽 웹 서비스의 아키텍처 설계 및 개발 ㆍ Spring Boot, Node.js(Express) 기반 서버 로직 및 API 개발 ㆍ React.js + Vite를 활용한 웹 프론트엔드 UI/UX 구현 및 최적화 ㆍ 프론트-백 간의 통신을 위한 REST API 및 WebSocket 연동 ㆍ 파이선, 데이터분석 등 AI모델 개발 및 적용경험자 ㆍ 고객요구분석, 설계, 개발 등 개발프로젝트 전반 담당 자격요건 ㆍ학력 : 대졸이상 ㆍ경력 : 신입 ~ 경력 20년","ㆍ용접 로봇/센서 자동화 시스템 유경험자 ㆍ MES/PLC/SCADA 제조시스템 유경험자 ㆍ 머신비전, AI개발 과제 유경험자 ㆍ 정보처리기사 또는 네트워크 자격증 보유 ㆍ 인공지능/머신러닝에 대한 기초 지식 보유 ㆍ 풀스택 개발 경험 *개발PM/PL급 우대 ㆍ 통계학, 컴퓨터공학, 인공지능 전공자 ㆍ 파이선, 데이터분석 등 AI모델 개발 및 적용경험자 ㆍ 제조공정/시스템 프로젝트 개발, 적용 경험자 ㆍ 제조 데이터 모델링, 운용, 분석 경험자 참고사항 * 판교역/야탑역 회사 무료 셔틀버스 운행(출퇴근 시간) * 정규직 또는 계약직 계약형태는 면접시 협의 후 결정 *",ㆍ서류전형 > 1차면접(실무자) > 2차면접(임원) > 최종합격 ㆍ면접일정은 추후 통보됩니다.,,회사 내규에 따름 (면접 후 결정),"API, Node.js, ReactJS, Spring Boot, MES, PLC, SCADA, 인공지능(AI)",솔루션·SI·CRM·ERP
80,"Voice AI Engineer(시니어, 음성)",셀렉트스타 주식회사,대전 유성구 유성대로1689번길 70  본관,경력무관,학력무관,정규직(수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48475553?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=69&sc=630,48475553,"1. Generative Model 연구?개발 - 위성 EO/SAR 도메인에서 Generative Model 을 설계, 학습, 개선 - Super-Resolution / Image-to-Image Translation / Image Inpainting 를 위한 모델링 및 실험 - 위성영상 도메인에서 발생하는 다양한 예외조건에 대해 모델 Robustness 향상 2. 모델 성능 분석 및 고도화 - 생성/복원 품질을 정량 측정 및 Failure Case 분석 - Generalization 관점의 모델?데이터셋설계 및 결과 정리 - 센서 종류/촬영 조건/해상도/노이즈 특성 등 생성모델의 제약조건을 분석하고 대응 전략 수립 3. 협업 및 성능관리 - 구축된 생성모델 및 정기적으로 생산되는 신규데이터에 대해서 모델을 지속적으로 개선 - 신규논문, 위성센서 및 촬영조건에 따른 성능제약조건을 탐색하여 모델의 성능을 관리 - Data, DataOps 등 지원부서와 지속적으로 대화하고 협업","Research Engineer ( ○명 ) 포지션 상세 - (주)에스아이에이는 지구 관측을 통해 현명한 결정을 위한 가치를 제공하는, 인공지능 기반 위성/항공 영상 분석",- Super-Resolution / Image-to-Image Translation / Image Inpainting 의 실무경험 - Controllable Image Generation 경험 - 공개코드가 없는 논문을 재현한 경험 혜택 및,ㆍ서류전형 > 커피챗 > 1차면접(직무적합성) > 2차면접(조직적합성) > 레퍼런스체크 > 처우협의 및 입사일 조정 > 채용검진 > 최종합격,"연금·보험 국민연금 , 고용보험, 산재보험, 건강보험 관련 태그 스타트업 전문채용관 가족친화인증","연봉 3,000만원 이상 (면접 후 결정)","C++, Python, Pytorch",응용 소프트웨어 개발 및 공급업
81,제조 AI 개발 엔지니어 모집,㈜지오소프트,서울 서초구 서초대로 398  638호,:,:,,https://www.jobkorea.co.kr/Recruit/GI_Read/48371621?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=73&sc=630,48371621,"- 실시간 음성 통역 파이프라인(WebRTC → STT → 번역 → TTS) 개발 및 최적화 - Whisper / Google 등 외부 AI API 통합 및 조합 설계 - 장애 대비를 위한 백업 번역 파이프라인 구축 - 무음 감지(VAD), 청크 처리, 캐싱 등 비용 절감 로직 적용 - 실시간 스트리밍 환경의 품질 및 지연시간 개선 - 신규 AI 기능 기획·개발을 위한 백엔드/웹/앱 팀과의 협업 스킬 ㆍPython, WebRTC, WebSocket, TTS, STT 핵심역량 ㆍ 계획성, 성취지향성, 창의성, 꼼꼼함, 메타인지","AI Integration Engineer ( ○명 ) 담당업무 - 실시간 음성 통역 파이프라인(WebRTC → STT → 번역 → TTS) 개발 및 최적화 - Whisper / Google 등 외부 AI API 통합 및 조합 설계 - 장애 대비를 위한 백업 번역 파이프라인 구축 - 무음 감지(VAD), 청크 처리, 캐싱 등 비용 절감 로직 적용 - 실시간 스트리밍 환경의 품질 및 지연시간 개선 - 신규 AI 기능 기획·개발을 위한 백엔드/웹/앱 팀과의 협업 스킬 ㆍPython, WebRTC, WebSocket, TTS, STT 핵심역량 ㆍ 계획성, 성취지향성, 창의성, 꼼꼼함, 메타인지 자격요건 ㆍ학력 : 초대졸이상 ㆍ경력 : 경력2년↑ - 2~5년 이상의 실무 개발 경험 (AI/백엔드/음성 처리 등) - Python 기반 API 개발 경험 - WebRTC/WebSocket 등 실시간 통신 이해 - 음성 AI API(STT/TTS) 사용 경험 - 실제 서비스 운영·배포 경험",ㆍ영어가능자 ㆍ중국어가능자 ㆍ통계분석·리서치 능숙자 ㆍ프리젠테이션 능력우수자 ㆍ유관업무 경험자(인턴·알바) ㆍ엑셀 고급능력 보유자 ㆍ해외,ㆍ서류전형 > 1차면접 > 2차면접 > 임원면접 > 최종합격 ㆍ면접일정은 추후 통보됩니다.,"연금·보험 국민연금 , 고용보험, 산재보험, 건강보험, 상해보험 휴무·휴가·행사 주5일제, 연차제도, 월차제도, 경조휴가, 반차제도, 공휴일 휴무, 주말 휴무 편의·여가·건강 점심 식사 지원 복리후생 더보기 관련 태그 IT 개발자 전문 채용관 시스템엔지니어 시스템설계 AI/ML엔지니어 음성인식 인공지능 AI서비스개발자 솔루션·SI·CRM·ERP 모바일앱개발 본 채용정보는 잡코리아의 동의없이 무단전재,재배포,재가공할수 없으며,구직활동 이외의 용도로 사용할 수 없습니다. 불법/허위/과장/오류 신고 로그인하고 비슷한 조건의 AI추천공고를 확인해 보세요! 플랜트인사이트㈜ AI 개발자 / 플랜트 분야 3D 어드민(E3D, S3D) 채용 학력무관 신입·경력1년↑ 서울 > 마포구 시스템엔지니어,소프트웨어개발자,AI/ML엔지니어 외 5건 ~02.27 (금) 즉시 지원 ㈜넥서스커뮤니티 ai 개발 경력자 합격축하금 100만원 학력무관 경력3년↑ 서울 > 중구 AI서비스개발자 ~02.25 (수) 즉시 지원 ㈜에넥스텔레콤 IT개발팀 풀 스택 개발자 채용 대졸↑ 경력3년↑ 서울 > 강남구 웹기획,웹개발자,앱개발자 외 2건 ~02.11 (수) 즉시 지원 CJ 4DPLEX CJ그룹 계열사 [CJ그룹 계열사] CJ 4DPLEX AI Tech & Artist 인재 모집 학력무관 경력3년↑ 서울 > 마포구 콘텐츠마케터,AI/ML엔지니어,AI/ML연구원 외 9건 ~02.08 (일) 즉시 지원 ㈜세코어로보틱스 [로봇/AI] 컴퓨터 비전 연구원 합격축하금 50만원 박사↑ 경력5년↑ 서울 > 구로구 AI/ML엔지니어 ~02.25 (수) 즉시 지원 ",회사 내규에 따름 (면접 후 결정),"ㆍPython, WebRTC, WebSocket, TTS, STT",응용 소프트웨어 개발 및 공급업
82,연구소 AI/ML 엔지니어 경력 채용 (과제 수행),이노뎁㈜,"서울 성동구 왕십리로 125  패스트파이브, 서울숲점",경력,대졸이상,정규직(수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48265661?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=61&sc=630,48265661,,,"기본우대 국가유공자, 관련 자격증 보유자",,"연금·보험 국민연금 , 고용보험, 산재보험, 건강보험 휴무·휴가·행사 주5일제, 연차제도, 경조휴가, 출산휴가, 육아휴직, 창립일 휴무, 노동절 휴무, 야유회 편의·여가·건강 건강검진, 점심 식사 지원 복리후생 더보기 이",회사 내규에 따름 (면접 후 결정),,"면류, 마카로니 및 유사식품 제조업"
83,[의료IT 1위 이지케어텍] AI Engineer (석/박사) 전문연구요원 채용,이지케어텍㈜,서울 강남구 언주로 620  현대인텔렉스 빌딩 10층,경력무관,초대졸이상,정규직(수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48221900?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=65&sc=630,48221900,,"경력 경력무관 학력 초대졸이상 (졸업예정자 가능) 스킬 JAVA, MSSQL, Oracle, PostgreSQL, Python, RDBMS, Unix, Linux, RAG, LLMOps","기본우대 보훈대상자, 유관업무 경력자",,"연금·보험 국민연금 , 고용보험, 산재보험, 건강보험, 퇴직연금, 상해보험 휴무·휴가·행사 주5일제, 연차제도, 월차제도, 반차제도, 리프레시 휴가, 노동절 휴무 편의·여가·건강 사내 동호회, 건강검진, 저녁 식사 지원 복리후생 더보기 관련 태그 잡아바 추천 TOP",회사 내규에 따름 (면접 후 결정),"JAVA, MSSQL, Oracle, PostgreSQL, Python, RDBMS, Unix, Linux, RAG, LLMOps",솔루션·SI·CRM·ERP
84,[전액국비] 취업연계 첨단기술 교육생 모집(반도체/AI/응용SW/로봇/스마트제조/IoT),대한상공회의소,,경력무관,학력무관,: 인턴(6개월 계약 이후 평가에 따라 종료 or 인턴 연장 or 정규직 전환),https://www.jobkorea.co.kr/Recruit/GI_Read/48466081?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=81&sc=630,48466081,"이 포지션은 단순한 인턴십이 아닙니다. 전문 영상 편집자가 수행하는 복잡한 작업 중 하나를 맡아, 전문가와 동일하거나 그 이상의 수준으로 자동화하는 미션 이 주어집니다. 세계 최고를 만들어본 전문가들과 함께 아직 아무도 풀지 못한 문제를 해결하며, AI 연구, 실무 엔지니어링, 성장하는 회사를 동시에 경험할 수 있습니다. 다음과 같은 업무를 수행합니다. 전문가 수준의 AI 에이전트를 위한 모듈 개발, 연구: 영상 편집 워크플로의 특정 단계를 전담하여, 스스로 판단하고 작업을 수행하는 지능형 에이전트를 설계하고 개발합니다. 세계 최고 성능(SOTA) 달성을 위한 연구: 목표 달성을 위해 수단과 방법을 가리지 않습니다. 프롬프트 엔지니어링, 애플리케이션 개발, 자체 모델 제작 등 모든 기술을 총동원하여 세계 최고의 성능을 달성할 수 있는 최적의 방법을 연구하고 구현합니다. End-to-End 파이프라인 구축: 아직 해결되지 않은 문제를 스스로 정의하고, 필요한 데이터 수집 및 모델 검증 파이프라인을 구축하며 최첨단 멀티모달 AI 모델을 실험합니다. 제품 통합 및 배포: 연구 결과를 실제 제품에 통합하여, 전 세계 수천 명의 전문가와 크리에이터가 사용하는 서비스로 배포하는 과정까지 경험합니다. 다음과 같은 경험을 얻을 수 있습니다. 불가능을 현실로 만드는 경험: 우리는 인턴에게 한계를 두지 않습니다. 실제로 이전 두 명의 인턴은 입사 후 단 6주 만에 세계 최고 수준(SOTA)의 모델을 개발하는 데 핵심적인 역할을 수행했습니다. 압도적인 성장과 최고의 동료: 유니콘 성공 경험을 가진 창업자들, 미국 빅테크 출신의 숙련된 AI 엔지니어들과 긴밀하게 협업하며 세계 최고 수준의 기준을 배웁니다. 실질적인 임팩트 창출: 당신의 아이디어와 결과물이 빠르게 성장하는 제품에 즉시 반영되어, 전 세계 사용자의 워크플로를 혁신하는 과정을 목격합니다. 폭넓은 역량 개발: AI 연구와 실무 엔지니어링을 동시에 경험하며, 데이터 엔지니어링부터 머신러닝, 제품 통합까지 폭넓은 역량을 키울 수 있습니다. [","] ChatGPT나 Claude 등 LLM을 일상적으로 활용하고 계신 분 논리적으로 문제를 풀고, 전략적으로 접근하는 걸 즐기시는 분 알고리즘, 자료 구조 등 컴퓨터 과학 기초 개념에 대한 이해를 갖추고 있는 분 스타트업의 빠른 속도와 도전적인 환경을 경험해 보고 싶은 분 강도 높은 업무 환경을 좋아하시는 분 컴퓨터 공학 또는 유사 학문 전공 [",] Python 기반 개발 경험 영상 편집 도메인에 대한 관심 또는 사용 경험 LLM을 이용한 프로젝트나 자동화 도구를 만들어본 경험 멀티모달 및 에이전트 개발 및 활용 경험 [,"] 서류전형 → 1차 인터뷰(화상면접, 코딩테스트 30분) → 2차 인터뷰(대면면접, 1시간) → 처우협의 → 최종합격 직무수행과 무관한 정보는 삭제하고 제출해주세요. 해외여행 및","연금·보험 국민연금 , 고용보험, 산재보험, 건강보험 휴무·휴가·행사 자유로운 휴가문화 편의·여가·건강 점심 식사 지원, 저녁 식사 지원, 음료/간식 제공 복리후생 더보기 관련 태그 AI서비스개발자 솔루션·SI·CRM·ERP 솔루션 서울>강남구 본 채용정보는 잡코리아의 동의없이 무단전재,재배포,재가공할수 없으며,구직활동 이외의 용도로 사용할 수 없습니다. 불법/허위/과장/오류 신고 직무 AI서비스개발자 고용형태 인턴(근무기간 6개월) 경력 경력무관 급여 회사 내규에 따름 (면접 후 결정) 근무지역 서울 강남구 마감일 상시채용 마감공고 업계에서 인정받는 알짜",회사 내규에 따름 (면접 후 결정),Python,솔루션·SI·CRM·ERP
85,[컷백] AI Engineer (Intern),㈜컷백,주소 : 서울 서초구 강남대로89길 30,3년,:,,https://www.jobkorea.co.kr/Recruit/GI_Read/48290618?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=86&sc=630,48290618,,,,,협의&입사일 조정 ㆍ면접일정은 추후 통보됩니다. 이 기간동안 모집해요 ~ 2026.01.30(금) 지원 시,,,시스템 소프트웨어 개발 및 공급업
