채용제목,회사,근무지,경력,학력,고용형태,상세url,스킬_old,스킬_new,상세게시글id,주요업무,자격요건,우대사항,채용절차,급여,업종,복지 및 혜택
Hi-Tech 제조 산업을 위한 생성형 AI 플랫폼 및 에이전트 개발 팀장 모집,㈜브릭,경기 성남시 분당구 판교역로 230  삼환하이펙스 B동 309호,경력,대졸이상,정규직 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48511735?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=11&sc=630,,,48511735.0,,,,,회사 내규에 따름 (면접 후 결정),,
2026년 해커스 교육그룹 수시 채용,㈜해커스어학원,"서울 서초구 서초4동 1316-15 현대성우빌딩 1층, 2층,",신입·경력,고졸이상,"정규직 (직무별 상이, 상세요강 참조) , 계약직 (정규직 전환 가능) , 인턴",https://www.jobkorea.co.kr/Recruit/GI_Read/48517801?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=12&sc=630,,,48517801.0,,,,,"회사 내규에 따름 (면접 후 결정, 직무별 상이)",,
"Cursor AI & No-Code ,바이크코딩 채용 (Cursor,n8n,make)",주식회사 와이씨에프지,서울 성동구 성수이로 70  1.2층,경력,학력무관,정규직 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48369174?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=13&sc=630,,,48369174.0,,,,,월급 250~400만원 (면접 후 결정),,
[대전] 미래기술 연구 및 서비스 기획 인력 채용,㈜케이쓰리아이,대전 유성구 엑스포로 1  신세계백화점 사이언스타워 16층,경력,대학원(석사)이상,정규직 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48394042?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=14&sc=630,,,48394042.0,,,,,회사 내규에 따름 (면접 후 결정),,
"[국비지원,교육비 무료] 일본 IT취업 AI활용 클라우드 기반 웹 개발자과정 연수생 모집",제이에스엘인재개발원㈜,대전 중구 계룡로 825   5층 JSL인재개발원,경력무관,학력무관,"연수생/교육생 (교육기간 9개월, (26.03.18~12.9))",https://www.jobkorea.co.kr/Recruit/GI_Read/48479260?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=15&sc=630,,,48479260.0,,,,,"연봉 3,520만원 이상",,""
AI 서비스 B2B 사업개발/영업,㈜딥세일즈,서울 강남구 테헤란로 503  12층,경력,학력무관,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48168643?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=16&sc=630,Salesforce 스마트픽 AD,Salesforce 스마트픽 AD,48168643.0,,,,,회사 내규에 따름 (면접 후 결정),,
(주)닥터소프트 병역특례(전문연구요원) 모집,㈜닥터소프트,서울 구로구 디지털로26길 43  대륭포스트타워8차 엘305호,경력무관,대학원(석사)이상,"병역특례 (현역, 보충역, 전문연구요원) 직급/직책",https://www.jobkorea.co.kr/Recruit/GI_Read/48463868?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=17&sc=630,아키텍쳐,아키텍쳐,48463868.0,,,"기본우대 관련 자격증 보유자, 유관업무 경력자 우대전공 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,회사 내규에 따름 (면접 후 결정),,
2026 각 부문 채용 [VIP 마케팅/마케팅기획/마케팅MD/온라인MD/영업/영업관리/경리회계/CS/창고물류관리,더 프리미엄 마케팅,서울 영등포구 영중로10길 5  클라우드나인빌딩,신입·경력,학력무관,"정규직 , 계약직 , 인턴 (협의)",https://www.jobkorea.co.kr/Recruit/GI_Read/48297776?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=18&sc=630,,,48297776.0,,,"기본우대 영어가능자, 컴퓨터활용능력 우수자, 운전가능자, 엑셀 고급능력 보유자, 관련 학과 전공자, 유관업무 경력자, 즉시출근 가능자, 장기근무 가능자 스마트픽 AD 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,회사 내규에 따름 (면접 후 결정),,
[인스파이어] 2026년 상반기 분야별 채용,㈜인스파이어인티그레이티드리조트,인천 중구 공항문화로 127,경력무관,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48427464?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=19&sc=630,,,48427464.0,,,,,회사 내규에 따름,,
AI엔지니어(AI Agent),㈜에스원,서울 중구,경력무관,대학원(박사)이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48449514?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=20&sc=630,,,48449514.0,,,,,,,
[한국정보공학] AI 개발 부문 경력직 채용,한국정보공학㈜,경기 성남시 분당구 황새울로359번길 7  8층,경력,대졸이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48439697?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=21&sc=630,,,48439697.0,,,,,회사 내규에 따름 (면접 후 결정),,
AI 모델/서비스 기획 (경력),네이버클라우드㈜,경기도 성남시 분당구 불정로 6,경력,학력무관,정규직 (협의),https://www.jobkorea.co.kr/Recruit/GI_Read/48442399?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=22&sc=630,,,48442399.0,,,,,회사 내규에 따름,,
프론트엔드 개발자(AI) 경력 채용,한솔PNS㈜ IT서비스 부문,서울 강서구 양천로 570  6층,경력3년,대졸이상,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48409553?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=23&sc=630,,,48409553.0,,,"기본우대 국가유공자, 장애인, 보훈대상자 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,회사 내규에 따름 (면접 후 결정),,
[플랫폼본부] 프랜차이즈시너지그룹 AI 리서치 엔지니어 (AI 어시스턴트),㈜넥슨,경기 성남시 분당구 판교로256번길 7  넥슨코리아,경력,학력무관,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48424636?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=24&sc=630,,,48424636.0,,,"기본우대 장애인, 유관업무 경험자(인턴·알바), 보훈대상자 스마트픽 AD 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,회사 내규에 따름,,
AI 풀스택 개발자 (경력),㈜카카오,경기도 성남시 분당구 백현동 532 카카오 판교 아지트,경력,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48301938?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=25&sc=630,,,48301938.0,,,,,회사 내규에 따름,,
[라이브본부] AI 엔지니어,㈜넥슨,경기 성남시 분당구 판교로256번길 7  넥슨코리아,경력,학력무관,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48455722?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=26&sc=630,,,48455722.0,,,"기본우대 장애인, 영어가능자, 일본어가능자, 유관업무 경험자(인턴·알바), 보훈대상자 이",,회사 내규에 따름,,
[플랫폼본부] AI Hub실 AI 엔지니어,㈜넥슨,경기 성남시 분당구 판교로256번길 7  넥슨코리아,경력,학력무관,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48469775?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=27&sc=630,,,48469775.0,,,"기본우대 장애인, 유관업무 경험자(인턴·알바), 보훈대상자 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,회사 내규에 따름,,
해커스교육그룹 [경력] AI풀스택 개발자 채용,㈜해커스어학원,"서울 서초구 서초4동 1316-15 현대성우빌딩 1층, 2층,",신입·경력,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48405321?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=28&sc=630,,,48405321.0,,,,,회사 내규에 따름 (면접 후 결정),,
GA 본사 AI전략팀 경력직 채용,인카금융서비스㈜,서울특별시 성동구 아차산로 33,경력,학력무관,"계약직 (근무기간 1년, 정규직 전환 가능)",https://www.jobkorea.co.kr/Recruit/GI_Read/48422437?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=29&sc=630,,,48422437.0,,,"기본우대 장애인, 보훈대상자 이",,회사 내규에 따름 (면접 후 결정),,
AI 머신 러닝 엔지니어 (대리급 이상),메타넷디지털㈜,서울 서초구,경력2년~10년,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48379333?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=31&sc=630,,,48379333.0,,,,,,,
Agentic AI Platform 개발자 (경력),㈜카카오,경기도 성남시 분당구 백현동 532 카카오 판교 아지트,경력,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48300757?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=32&sc=630,,,48300757.0,,,,,회사 내규에 따름,,
"경력사원 채용(연구개발, 전략기획, IFM, SI영업)",에스원,서울특별시 중구 세종대로7길 25,경력,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48428391?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=33&sc=630,,,48428391.0,,,"기본우대 장애인, 유관업무 경험자(인턴·알바), 보훈대상자, 박사학위 수여자, 관련 학과 전공자, 유관업무 경력자 스마트픽 AD 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,회사 내규에 따름,,
"[서비스개발센터] 경력 개발자, 웹디자이너 채용",㈜동아사이언스,서울 서대문구 충정로 29  10층,경력4년,학력무관,"정규직 (수습 3개월) , 계약직 (근무기간 1년)",https://www.jobkorea.co.kr/Recruit/GI_Read/48493295?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=34&sc=630,,,48493295.0,,,"기본우대 유관업무 경험자(인턴·알바), 관련 학과 전공자 스마트픽 AD 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,회사 내규에 따름 (면접 후 결정),,
인공지능(AI) 솔트룩스 - 백엔드 개발자 채용,주식회사 솔트룩스,서울 송파구 올림픽로35길 123,경력,대졸이상,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48455112?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=35&sc=630,,,48455112.0,,,,,회사 내규에 따름 (면접 후 결정),,
AI 개발자,㈜다날,대한민국 경기도 성남시 분당구 분당로 55 퍼스트타워 9층,경력,초대졸이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48469835?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=36&sc=630,,,48469835.0,,,,,회사 내규에 따름,,
인공지능(AI) 솔트룩스 - PM,주식회사 솔트룩스,서울 송파구 올림픽로35길 123,경력,대졸이상,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48374492?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=37&sc=630,,,48374492.0,,,,,회사 내규에 따름 (면접 후 결정),,
[도시락eSIM] 업무자동화 개발·운영 담당자,와이드모바일,서울 서대문구 충정로2가 충정빌딩 6층,경력,학력무관,정규직 (수습 3개월) 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48489961?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=38&sc=630,,,48489961.0,,,,,회사 내규에 따름 (면접 후 결정),,
2026년 미국 Battery Tech Conference 채용전형 모집 - AI/빅데이터(비전AI),LG에너지솔루션,서울 영등포구 여의대로 108,신입·경력,대학원(석사)이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48467513?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=39&sc=630,,,48467513.0,,,,,회사 내규에 따름,,
장애인 채용 [도매꾹/도매매 AMD 모집],㈜지앤지커머스,서울 영등포구 국제금융로6길 30  5,경력무관,학력무관,계약직 (근무기간 6개월) 직급/직책,https://www.jobkorea.co.kr/Recruit/GI_Read/48492756?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=40&sc=630,,,48492756.0,,,"기본우대 컴퓨터활용능력 우수자, 유관업무 경험자(인턴·알바), 유관업무 경력자 TOP 궁금해요",,회사 내규에 따름 (면접 후 결정),,
[CDO] AI/빅데이터 연구개발 경력 상시 모집 - 비전AI기술개발,LG에너지솔루션,서울 서초구 양재대로11길 19,경력,대학원(석사)이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48359125?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=41&sc=630,,,48359125.0,,,,,회사 내규에 따름,,
[플랫폼본부] AI 리서치 사이언티스트 (Image / Video Generation),㈜넥슨,경기 성남시 분당구 판교로256번길 7  넥슨코리아,경력무관,학력무관,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48196529?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=42&sc=630,,,48196529.0,,,"기본우대 장애인, 유관업무 경험자(인턴·알바), 보훈대상자 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,회사 내규에 따름,,
[기술본부] AI 데이터 엔지니어,㈜넥슨,경기 성남시 분당구 판교로256번길 7  넥슨코리아,경력,학력무관,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48293274?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=43&sc=630,,,48293274.0,,,"기본우대 장애인, 유관업무 경험자(인턴·알바), 보훈대상자 스마트픽 AD 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,회사 내규에 따름,,
[그루비] ML Backend Engineer,㈜플래티어,서울 송파구,경력3년~20년,대졸이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48333794?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=44&sc=630,,,48333794.0,,,,,,,
[메이플스토리] AI 엔지니어,㈜넥슨,경기 성남시 분당구 판교로256번길 7  넥슨코리아,경력,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48366731?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=45&sc=630,,,48366731.0,,,"기본우대 장애인, 보훈대상자 로그인 하고 비슷한 조건의 AI추천공고를 확인해 보세요! TOP 궁금해요",,회사 내규에 따름,,
[CDO] AI/빅데이터 연구개발 경력 상시 모집,LG에너지솔루션,서울 영등포구 여의대로 108,경력,대졸이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48354939?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=46&sc=630,,,48354939.0,,,,,회사 내규에 따름,,
"AIR Platform(Backend Developer, 플랫폼 기획) 채용",메가존클라우드㈜,경기 과천시 과천대로7길 74  메가존산학연센터,경력,학력무관,정규직 (수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48472014?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=47&sc=630,,,48472014.0,,,,,회사 내규에 따름 (면접 후 결정),,
"[AI·빅데이터] AI 엔지니어, R&D, 데이터 사이언티스트, 인프라",㈜엑셈,서울 강서구 마곡중앙8로5길 40  엑셈,경력,대졸이상,정규직 (수습 1개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48489693?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=48&sc=630,,,48489693.0,,,,,회사 내규에 따름,,
AI Agent 개발 테크 리더(차장-이사급),메타넷디지털㈜,"서울 서초구, 서울 마포구",경력5년~20년,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48379326?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=49&sc=630,,,48379326.0,,,,,,,
