,keyword,title,company,location,career,education,work_type,deadline,link,rec_idx,keyword_text,crawled_at,responsibilities,qualifications,preferred_quali,hiring_process,benefits,salary,corp_domain,totaltext
0,AI 에이전트,[AP부동산중개법인] 인포데스크 및 업무지원 채용공고,(주)에이피부동산중개법인,서울 강남구,경력무관,학력무관,정규직·프리랜서,~ 02/28(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52952831&location=ts&searchword=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=46094785-ea20-42aa-90f9-f75275f3114d,52952831,고객응대 안내데스크 비품관리 사무보조 영업지원,2026-02-02 13:19:19,,,,,,,부동산 중개 및 대리업," 
사람인 공고 상세요강 입니다. 사람인(주)의 허가 없이 무단 복사 및 게재를 금합니다. (주)에이피부동산중개법인 세' REAL ESTATE 인포데스크 및 업무지원 채용공고 (업무지원실) 에이피부동산 에계 업계 최고의 소득 업계 최고의 전문가로 려스질교되로적하히3속지니다 = 중개법인이 아니여 채용올 가볍게 하지 않습니다.신중한 지원 부탁드컵니다. 업계 최고 실적 달성 - 2021년 - 2024년 4년간 매매거래 실적 9,000억 달성 다년간의 노력올 업계 최초 넥데이터올 활용하 시시스템 도입 리 계약물 향상 업계 최대의 데이터베이스 보유 서움 및 경기도 주요지역의 모든 토지 건축문 정보 보유 (약 200만건 이상 ""Execusive 매물확보 가매사업부 저속 고객들드 기 고정 전속임대 머물 확보 전문인력의 밀착 자문 -체계적인 업드 각 분야의 전문가루 통호 AP만의 차별화되 교육프로그램 진행_ [둘의 주기적 교육 진행 업무지원실 [적인 업무 지원 { (수습기간 월요현 9시 {앙자릿l무) ) * 회사 내 거래발생 시 건별 성과 보너스 지급 유협근무수당 : 시간당 32,500 : 서비스 마인드 보우하신 분 박고 친절 일처리가 꼼꼼히고 부지런하신 분 서류전형 (1차) 면접전형 (2차) 인적성검사 (3차) 최종합격 회사생활 지원 (본인 부되조부모 형제자매자녀 등) 기념 축하금 및 선물 여름휴가 지원 -여름휴가 및 별도의 휴가비 지 건강관리 지원 및 일반건강검진 등) WORK SPACE 새 메이m 부도산금자뱀 힘사지원 서류에 허위사심0 63적 7루-어이-8양이-335길 있으며 제출된 서류는 일체 반환되지 앉습니다 A REAL ESTATE ACENT ! (종합건강검진 AP "
1,AI 에이전트,기술지원실 개발팀 팀장 채용,주식회사 티엠디교육그룹,서울 서초구,경력5년↑,학력무관,정규직·계약직,~ 02/26(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52937206&location=ts&searchword=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=46094785-ea20-42aa-90f9-f75275f3114d,52937206,유지보수 웹개발 React 교육기관,2026-02-02 13:19:29,,,,,,,경영 컨설팅업,사람인 공고 상세요강 입니다. 사람인(주)의 허가 없이 무단 복사 및 게재를 금합니다.
2,AI 에이전트,AI 연구 개발자 인력 채용공고,(주)그노티,서울 성동구,경력4년↑,대졸,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52617068&location=ts&searchword=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=46094785-ea20-42aa-90f9-f75275f3114d,52617068,키워드 없음,2026-02-02 13:19:36,,,,,,,,
3,AI 에이전트,Product Owner (차-부장급),라이나생명보험(주),서울 종로구,경력5년↑,대졸↑,정규직,~ 02/13(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52953835&location=ts&searchword=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=46094785-ea20-42aa-90f9-f75275f3114d,52953835,생명보험사 생명보험,2026-02-02 13:19:46,"보험 가입, 유지 등 전체 여정에서의 Pain Point 발굴 및 이를 해결하는 디지털 프로덕트의 비전과 로드맵 수립, 고객 행동 데이터, 마케팅 효율 분석을 통한 제품의 개선 방향 정의 및 지표(KPI) 관리, A/B testing 가설 검증 및 이를 통한 의사결정 프로세스 실천, RAG 기반 챗봇, AI 자동 심사, 개인화된 상품 추천 등 기술전략에 맞춘 AI 서비스 기획 및 고도화 주도, 차장 직급으로 함께할 예정이에요.","5년 이상의 IT 프로덕트 매니징 경험이 있으신 분, 복잡한 비즈니스 로직(보험 약관, 요율 등)을 이해하고, 이를 단순하고 직관적인 사용자 인터페이스로 풀어낼 수 있으신 분, 개발자, 디자이너는 물론 현업 부서(영업/보상 등)와 원활하게 소통하고 설득할 수 있는 역량을 가지신 분, 가설 수립, MVP 개발, 배포, 데이터 검증의 사이클을 경험해 보신 분, 경력 5년 이상, 대학교졸업(4년)이상","보험사, 인슈어테크, 핀테크 또는 금융권 프로젝트 경험, AI 에이전트, LLM 활용 서비스, 또는 클라우드 기반 금융 시스템 구축 경험, 서비스 기획부터 출시, 이후 대규모 트래픽을 감당하는 서비스로 성장시켜 본 경험","29 09시 ~ 2026, 13 24시","교육/생활 : 우수사원시상식, 워크샵, 플레이샵, 신규 입사자 교육(OJT), 직무능력향상교육, 해외연수지원, 자격증취득지원, 교육비 지원, 구내식당(사원식당), 사내동호회 운영, 사우회(경조사회), 간식 제공, 음료제공(차,커피), 리프레시 : 연차, 여름휴가, 경조휴가제, 반차, 포상휴가, 산전 후 휴가, 휴양시설 제공, 급여제도 : 인센티브제, 상여금, 장기근속자 포상, 우수사원포상, 스톡옵션, 연차수당, 직책수당, 자격증수당, 장기근속수당, 가족수당, 4대 보험, 지원금/보험 : 건강검진, 의료비지원(본인), 직원대출제도, 각종 경조사 지원, 해외여행 지원, 선택적복리후생, 자녀학자금, 조직 문화 : 회식강요 안함, 야근강요 안함, 자유복장, 선물 : 명절선물/귀향비, 생일선물/파티, 근무 환경 : 휴게실, 수면실, 회의실, 공기청정기, 카페테리아, 사원증, 사무용품 지급",면접 후 결정,생명 보험업,"Product Owner (차-부장급)
Product Owner (0명)
📋 주요업무
- 보험 가입, 유지 등 전체 여정에서의 Pain Point 발굴 및 이를 해결하는 디지털 프로덕트의 비전과 로드맵 수립
- 고객 행동 데이터, 마케팅 효율 분석을 통한 제품의 개선 방향 정의 및 지표(KPI) 관리
- A/B testing 가설 검증 및 이를 통한 의사결정 프로세스 실천
- RAG 기반 챗봇, AI 자동 심사, 개인화된 상품 추천 등 기술전략에 맞춘 AI 서비스 기획 및 고도화 주도
• 차장 직급으로 함께할 예정이에요.
📋 자격요건
• 경력 5년 이상
• 대학교졸업(4년)이상
- 5년 이상의 IT 프로덕트 매니징 경험이 있으신 분
- 복잡한 비즈니스 로직(보험 약관, 요율 등)을 이해하고, 이를 단순하고 직관적인 사용자 인터페이스로 풀어낼 수 있으신 분
- 개발자, 디자이너는 물론 현업 부서(영업/보상 등)와 원활하게 소통하고 설득할 수 있는 역량을 가지신 분
- 가설 수립, MVP 개발, 배포, 데이터 검증의 사이클을 경험해 보신 분
📋 우대사항
- 보험사, 인슈어테크, 핀테크 또는 금융권 프로젝트 경험
- AI 에이전트, LLM 활용 서비스, 또는 클라우드 기반 금융 시스템 구축 경험
- 서비스 기획부터 출시, 이후 대규모 트래픽을 감당하는 서비스로 성장시켜 본 경험
🏠 근무조건
• 고용형태 : 정규직(수습 3개월)
• 급여 : 면접 후 결정 
• 근무지 : 서울 종로구 삼봉로 48 라이나타워 
🎁 복지 및 혜택
• 교육/생활 : 우수사원시상식, 워크샵, 플레이샵, 신규 입사자 교육(OJT), 직무능력향상교육, 해외연수지원, 자격증취득지원, 교육비 지원, 구내식당(사원식당), 사내동호회 운영, 사우회(경조사회), 간식 제공, 음료제공(차,커피)
• 리프레시 : 연차, 여름휴가, 경조휴가제, 반차, 포상휴가, 산전 후 휴가, 휴양시설 제공
• 급여제도 : 인센티브제, 상여금, 장기근속자 포상, 우수사원포상, 스톡옵션, 연차수당, 직책수당, 자격증수당, 장기근속수당, 가족수당, 4대 보험
• 지원금/보험 : 건강검진, 의료비지원(본인), 직원대출제도, 각종 경조사 지원, 해외여행 지원, 선택적복리후생, 자녀학자금
• 조직 문화 : 회식강요 안함, 야근강요 안함, 자유복장
• 선물 : 명절선물/귀향비, 생일선물/파티
• 근무 환경 : 휴게실, 수면실, 회의실, 공기청정기, 카페테리아, 사원증, 사무용품 지급
🚀 채용절차
접수기간 : 2026-01-29 09시 ~ 2026-02-13 24시
제출서류 : 자사양식 이력서
접수방법 : 홈페이지 지원
전형절차 : 서류전형 → 1~2차 인터뷰(실무진, 임원, HR) → 고용심사 및 레퍼런스 체크 → 최종합격
🛎️ 유의사항
• 입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.

사람인 공고 상세요강 입니다. 사람인(주)의 허가 없이 무단 복사 및 게재를 금합니다. "
